"fact","id"
"fertilization is when  an   egg cell   becomes fertilized","57d1-ae47-ec81-5c03"
"a cold front is when  a  cooler air mass   moves into contact with an area of warmer air","d7b0-6601-25df-12d7"
"albumen   protects the embryo","02fc-955d-241f-5fe9"
"reproduction   ensures the continuation        of a plant or animal species","85ec-94e2-04d2-8aae"
"a   solute  can be dissolved in a solvent when they are combined","7c08-85f6-fae2-8190"
"sodium chloride   dissolves in water when they are combined","6d0b-5a2b-14b5-805d"
"the   respiratory system   performs respiration","d69f-a53c-a0d5-7861"
"living things   perform biological processes","3cd6-d0fb-647d-2a1e"
"an  erupting volcano   releases sulfur gas and ash into the atmosphere","b071-dc6e-dcc4-c885"
"food supply  often limits predator population size in an ecosystem","354b-9f56-0401-44ca"
"adapting is when  a   living thing   responds to a change in an environment","f3fb-5a6f-2277-6e10"
"photosynthesis   stores; captures energy","f70d-39c1-2156-4e24"
"respiration   releases energy","fbfd-cbb8-22fa-0fde"
"microwaves   harm people that have pacemakers","1e99-db4c-1ef4-be67"
"metal   rusts","988e-84e2-f0b3-0538"
"mosquitos   eat blood of animals","c74a-29b3-7a06-d1ad"
"the   immune system   defends the body        against disease","3076-bb8a-1b40-3520"
"oceans   regulate the temperature        of nearby land","5a94-7eb8-8140-f2b4"
"ozone   absorbs harmful ultraviolet rays        from the Sun","ea15-eb51-e38e-a2c3"
"fungi   absorb nutrients        from decaying tissue","57be-0d7a-49ad-762b"
"most  insects   reproduce   by sexual reproduction","92d8-956f-2c90-aa26"
"planets in the solar system  orbit the Sun","4f0f-94ba-06b4-84be"
"x-rays  can pass through some parts of the body","96b0-206c-fac5-d7e1"
"inertia is when  a  stationary object   resists being put into motion","78bb-6c70-bd70-c323"
"liquids   expand more than solids when heated","bf32-fced-2fcc-6ab1"
"the   parts of something  make up that something","8842-4c4b-612e-eb6d"
"nerve cells   conduct messages in the body","2284-9674-843e-f9f2"
"light   travels fastest through a vacuum","b925-8bb9-3f88-f04c"
"a   person with diabetes should be careful about eating or drinking something that is high in sugar","c2e8-68f1-5e2e-e707"
"a   person  should be careful about something dangerous","e508-1667-1e46-8ba6"
"putting out a   fire   stops the burning        of that fire","2f15-1978-bedd-7e41"
"iron in contact with water and oxygen will rust","6d3e-e79a-9d08-519b"
"genes  are able to determine the inherited characteristics        of a living thing","c566-22fd-4845-1df2"
"atoms in a gas  collide frequently","4fa0-330c-ebc8-3b4a"
"atoms in a gas  move independently of one another","5638-f921-3567-d1bf"
"most  chemical reactions   release or absorb heat energy","3c81-75ca-5724-f2eb"
"electrons   surround; orbit the nucleus of an atom","2818-8851-75ee-2bbf"
"water droplets   scatter light","02a2-ab22-286c-ff95"
"the   circulatory system   absorbs; carries food; substances from the digestive system to the rest of the body","d927-476d-d929-b720"
"the   equator   receives the most direct sunlight throughout the year","6fd0-fd6f-9d28-4a64"
"the   poles   receive the least direct sunlight throughout the year","d997-0d53-44f5-2036"
"selective breeding is when  an   organism   receives selective genetic traits from its parents by human design","231b-e81a-0f32-3c10"
"a   predator  usually kills its prey    to eat it","952c-f654-fec2-8b06"
"the tide is when    ocean levels  periodically rise; fall","abe7-8ef7-d11e-25ca"
"a   galaxy  is held together   by gravity","f1cc-21ec-dccb-baab"
"a   mass production manufacturing system   makes products   more cheaply     than a custom manufacturing system","fad7-a1bb-9d59-339d"
"wheels; gears  usually move against other surfaces","da72-519d-898d-d79f"
"bacteria  can show significant trait changes in the shortest period of time","4d1f-7c11-b39d-6694"
"regulation is when  an   organism   maintains a stable internal environment","dc19-fb2e-ce6f-4a88"
"an  electrical charge  can attract objects        to other objects","b931-0ef0-ada9-d9da"
"some  hormones   regulate growth","5dd1-fe47-22b1-5587"
"traits  can be determined   by one pair; many pairs     of genes in an organism","b514-8bda-4ce6-d5c4"
"eating oranges; lemons     can prevent scurvy","8874-d3e1-6fb8-c35a"
"using   moving water to produce electricity may disrupt local ecosystems","b51f-8f89-a54a-72a4"
"hormones       regulate body functions","ec83-cfcf-d106-10c1"
"matter; energy  is always conserved  in any physical or chemical process","9693-e382-d3b7-f2de"
"nonrenewable resources  will eventually be depleted","87e4-0553-c70e-56fa"
"a  fixed vise   exerts compression on a piece of wood","f9eb-4767-b4e9-26cc"
"the   atmosphere of a planet  holds heat","a638-5da5-8a67-a55e"
"genetic segregation is when  each  sex cell   receives one copy        of each chromosome","d04d-153d-2125-e975"
"warm ocean currents   move to cooler ocean regions  by convection","9735-bbb7-0940-71ac"
"a  moving object  continues to move  in the same direction at constant speed       unless additional forces are applied","54f4-dbc4-575a-15a7"
"digestion is when     food   is absorbed into the blood stream","c3ab-8259-53c3-28eb"
"amphibians   lay eggs","c0d2-2419-ede7-daef"
"a   human  cannot survive the loss of their liver","df74-c089-805f-77a8"
"a  new plant   undergoes early development","9bd6-98d4-6bbc-a930"
"a   seat belt   applies force in the opposite direction of the passenger's motion","1767-b5b0-075a-dddb"
"genetic engineering is when     scientists   transfer a section of DNA from one organism into the DNA of another organism","7754-388c-780a-9a9f"
"a  digital clock   produces light    to display the time","1490-8c63-fce2-7578"
"different kinds of trees   produce different types of fruit","010a-8939-1398-c04d"
"a   cell   absorbs nutrients","c0e9-e44e-42e5-a1fe"
"an autoimmune disease is when  the   body   attacks its own tissues","5463-ce08-8322-55ab"
"red blood cells   carry oxygen throughout the body","5389-22e2-977b-7e6c"
"cells   copy DNA","3649-bc54-c404-3049"
"basic life functions   occur  in the cells of organisms","817a-e4c5-87d5-b660"
"all  cells   take in energy","2ba2-38f6-22bf-700f"
"gas-efficient engines   use less gas; less gasoline","c52f-3108-6b06-89fc"
"animals   reproduce    sexually","f6a5-58cd-2531-d0ae"
"asexual reproduction is when  a  single parent   passes inherited traits        to offspring","17d4-3f1e-ec31-de07"
"sexual reproduction in animals is when     egg; sperm   join         together","9229-7d09-4e6a-1c72"
"many  people   commute         everyday","595f-df44-6e6a-9dca"
"Thomas Edison   invented the light bulb","6799-b3d6-a78c-964d"
"the  cell membrane   allows materials to enter and leave the cell","95fa-cd75-ee22-ae39"
"volvox   reproduces sexually","890c-5c3f-e3c7-8727"
"convergent evolution is when   two  species in different taxonomic families  develop  in different places       under similar environmental pressures","cc8c-a9f2-7dfe-2ee4"
"the   universe   started as a single mass        according to the Big Bang Theory","cb78-4afe-a7f9-ca1c"
"ecological succession  often occurs  after forest fires","6d57-96c0-c32b-3381"
"gravity  helps move blood through the body","6aeb-9655-2e10-0fac"
"carbohydrates   store chemical energy","12dc-84be-4ad8-1069"
"the cell cycle is when  a   cell   forms new cells","b9de-bcf9-a310-3c14"
"multicellular organisms   produce more cells  through cell division","200e-dfdd-5b47-744d"
"sound   travels as longitudinal waves","5748-8e34-2dbb-e9ab"
"sound waves   spread in all directions away from their source","264f-16ad-34a0-23a1"
"an   object   exerts an upward force        objects that sit on that object","087a-a7db-0119-7b14"
"electromagnetic radiation   is arranged in the electromagnetic spectrum      by wavelength; frequency","56c9-505f-6c16-b7d4"
"an   element   is identified   by its number of protons","1c60-3ebb-470c-1ad4"
"the  Milky Way galaxy   appears         as a glowing band across the night sky","2544-b803-8031-cad3"
"the new moon is when  the  dark half of the moon  faces the Earth","7a15-299b-1e0d-5bc9"
"denitrification is when     nitrogen   becomes part of the lithosphere","3407-d8cd-58ad-e59f"
"nitrogen fixation is when     nitrogen   becomes fixed       by bacteria in the soil","8d20-59d6-1508-0443"
"humans  usually develop inventions        that they require","480f-c3f9-71e8-eccb"
"a  pioneer organism   populates an environment recovering from a natural disaster","1b5d-9672-bf4d-ef84"
"veins   carry blood        from the body to the heart","b5c1-08a7-7c54-8dfe"
"static electricity is when     electrons   are exchanged between objects      through friction","8e2d-c1a4-dfbc-59ad"
"roots   hold soil in place","70be-f77b-7def-9453"
"Venus   reflects more sunlight toward Earth       than other planets","b948-ddcc-f32e-aa11"
"nuclear fusion is when    atomic nuclei of low atomic number  fuse","f6d7-8181-7bd1-a7b7"
"incomplete dominance is when     offspring   exhibit a combination        of a property caused by the genes of its parents","4fc9-5989-d008-dd3e"
"wildflowers  can begin secondary succession","5b3f-4817-8eb0-fdc2"
"lysosomes   process; eliminate cellular waste","a249-0918-4b9b-9222"
"astronauts   wear spacesuits in space","7cd0-bb1c-4d97-45b4"
"waste  must be removed","bcbe-e058-fc7d-88b0"
"the   sprouts of seeds   grow  opposite the direction of the pull of gravity","7f47-4b59-ace0-6cdd"
"heredity is when    genetic information  is passed  from one generation to the next","2173-2584-f301-4f8a"
"reptiles   reproduce   through internal fertilization","3aa5-becd-55ee-db81"
"reptiles   produce amniotic eggs","9e99-bf0f-04dd-26ed"
"convection is when     a liquid   is heated   by hotter material rising to the top of the liquid","892f-b95e-de84-6aeb"
"sleet is when     raindrops   freeze  as they fall","aaf4-2195-9948-4966"
"apparent motion  is when    an  object   appears to move   relative to    another object's perspective; another object's position","1d13-2365-305d-1e1b"
"celestial bodies   move in orbits in space       around other celestial bodies","7324-4a13-8c67-9d8b"
"some  celestial bodies   rotate  in space","362f-279b-98c0-b25d"
"diurnal motion is when      objects in the sky  appear  to move  due to Earth's rotation on its axis","c697-5766-b5be-4c74"
"wasting a resource is reducing the   amount  of that resource without using that resource","ca9e-d15a-7dc1-d73c"
"wasting     a resource   harms that resource","51ea-eb1e-ccfc-096d"
"decreasing    use  of a resource  protects that resource","c22b-4945-e7c5-54e3"
"physical  adaptation   helps individual organisms in that population   to  survive; reproduce","fd4a-ee63-d305-515c"
"behavioral adaptation   helps individual organisms in that population   to  survive; reproduce","83d8-1dca-f435-c1d0"
"positive impacts on a species will increase populations of a species","a358-72d9-37df-e9f1"
"negative impacts on a species will decrease populations of a species","4c89-1538-021d-96b2"
