Year	Frequency
1853	1
1854	0
1855	0
1856	1
1857	0
1858	0
1859	0
1860	0
1861	0
1862	0
1863	0
1864	0
1865	0
1866	1
1867	0
1868	0
1869	0
1870	0
1871	0
1872	0
1873	0
1874	0
1875	0
1876	0
1877	0
1878	1
1879	0
1880	2
1881	0
1882	1
1883	0
1884	0
1885	0
1886	1
1887	0
1888	0
1889	0
1890	0
1891	0
1892	0
1893	1
1894	1
1895	0
1896	0
1897	0
1898	1
1899	1
1900	1
1901	0
1902	0
1903	0
1904	0
1905	0
1906	1
1907	0
1908	0
1909	0
1910	1
1911	0
1912	0
1913	0
1914	0
1915	2
1916	1
1917	1
1918	0
1919	1
1920	0
1921	1
1922	0
1923	0
1924	0
1925	0
1926	4
1927	0
1928	0
1929	1
1930	1
1931	1
1932	2
1933	3
1934	0
1935	2
1936	0
1937	0
1938	0
1939	1
1940	0
1941	1
1942	0
1943	1
1944	2
1945	1
1946	0
1947	1
1948	2
1949	1
1950	3
1951	2
1952	1
1953	0
1954	1
1955	2
1956	0
1957	1
1958	3
1959	1
1960	1
1961	3
1962	0
1963	1
1964	4
1965	1
1966	1
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	1
1975	1
1976	0
1977	0
1978	2
1979	1
1980	0
1981	1
1982	1
1983	0
1984	1
1985	1
1986	0
1987	0
1988	2
1989	1
1990	0
1991	1
1992	0
1993	0
1994	0
1995	3
1996	2
1997	0
1998	1
1999	5
2000	2
2001	2
2002	1
2003	1
2004	3
2005	1
2006	0
2007	0
2008	4
2009	1
2010	4
2011	2
2012	0
2013	0
2014	1
2015	1
2016	1
2017	2
2018	1
2019	0
2020	1
